,regional_geocode,geocode
354,43025,4305959
355,43016,4306130
356,43007,4306403
357,43026,4308102
358,43029,4308433
359,43012,4308458
360,43017,4312351
361,43029,4300703
362,43027,4309753
363,43013,4310413
364,43015,4310504
365,43007,4310801
366,43020,4310850
367,43029,4311403
368,43016,4312005
369,43011,4312179
370,21012,2109106
371,21014,2105153
372,21014,2104651
373,21010,2105963
374,21007,2103604
375,21019,2101970
376,21013,2109205
377,21013,2101707
378,21015,2107704
379,21018,2110500
380,21015,2111953
381,21010,2111672
382,21011,2112456
383,21011,2111789
384,21011,2109056
385,21014,2108702
386,21014,2102002
387,21010,2108207
388,21009,2112902
389,21009,2101731
390,21016,2107506
391,21005,2103406
392,21019,2105658
393,21011,2104909
394,21010,2112233
395,21019,2106201
396,21013,2105104
397,21019,2107357
398,21011,2109809
399,21015,2111102
400,21018,2107605
401,21006,2100154
402,21001,2105427
403,21005,2103901
404,21008,2105989
405,25015,2506251
406,25012,2506905
407,25016,2508505
408,25016,2509206
409,25002,2502706
410,25008,2512804
411,25001,2515302
412,25005,2510659
413,25002,2500502
414,25006,2505501
415,25014,2501401
416,25002,2503506
417,25002,2501500
418,25004,2505006
419,25012,2507200
420,25006,2508703
421,25002,2504157
422,25012,2507903
423,25007,2510204
424,25006,2510709
425,25006,2514404
426,25006,2514602
427,25009,2516904
428,25009,2512036
429,25002,2505204
430,25006,2512606
431,25002,2508554
432,25003,2500304
433,25015,2513943
434,26006,2609501
435,26008,2610004
436,26009,2605152
437,26007,2601102
438,26004,2601003
439,26003,2600609
440,26003,2602308
441,26006,2614501
442,26009,2608750
443,26011,2616100
444,26003,2615003
445,26001,2615904
446,26005,2603603
447,26003,2603504
448,26008,2605202
449,26006,2604155
450,26010,2604502
451,26003,2606408
452,26005,2605509
453,26010,2605459
454,26007,2606309
455,26001,2607703
456,26012,2607406
457,26003,2608008
458,26006,2608503
459,26010,2600054
460,26008,2614204
461,26010,2601052
462,26004,2603702
463,26006,2605400
464,26004,2606507
465,26006,2610509
466,26003,2610202
467,26004,2603207
468,26012,2603405
469,26003,2613107
470,26002,2607000
471,26005,2615300
472,26004,2607505
473,26009,2603009
474,26011,2614006
475,26002,2605103
476,26007,2610400
477,26009,2612604
478,26007,2612554
479,26001,2606903
480,26012,2601805
481,26002,2615805
482,26003,2604106
483,26010,2602902
484,26003,2602605
485,26008,2605905
486,26008,2607950
487,26012,2605707
488,26012,2612471
489,26007,2612455
490,22008,2202109
491,22001,2202026
492,22004,2200608
493,22010,2200905
494,22006,2201929
495,22006,2200707
496,22010,2201176
497,41004,4113908
498,41003,4104907
499,41015,4110904
500,41005,4120150
501,41008,4117255
502,41006,4125605
503,41008,4124400
504,41001,4118204
505,41012,4111555
506,41006,4118709
507,41014,4119707
508,41016,4125803
509,41002,4127601
510,41011,4116802
511,41007,4109658
512,41004,4110201
513,41008,4106571
514,41003,4111407
515,41007,4106456
516,41011,4107553
517,41015,4117404
518,41003,4125100
519,41017,4126678
520,41018,4111001
521,41003,4104659
522,41015,4114203
523,41002,4100400
524,41008,4120358
525,41007,4126272
526,41013,4105607
527,41019,4109708
528,41015,4124509
529,41019,4124004
530,41013,4125555
531,41018,4106407
532,41013,4122602
533,41017,4103701
534,41007,4106506
535,41022,4101853
536,41020,4115358
537,41010,4103057
538,41020,4115853
539,41009,4115804
540,41020,4125456
541,41020,4123501
542,41020,4127700
543,41020,4117222
544,41016,4101408
545,41016,4103305
546,41019,4128500
547,41010,4105300
548,41014,4106704
549,41006,4102901
550,41010,4106308
551,41006,4101309
552,41022,4122651
553,41014,4121000
554,41014,4118303
555,41005,4127965
556,41016,4122107
557,41017,4120002
558,41015,4128302
559,41002,4128633
560,41002,4101804
561,41008,4128609
562,41020,4117909
563,41010,4107546
564,50001,5005608
565,50001,5003256
566,50003,5003801
567,50003,5002001
568,50003,5007950
569,50001,5000708
570,50001,5002100
571,50004,5001003
572,50004,5002902
573,50001,5004908
574,50001,5001508
575,50004,5000203
576,50001,5003306
577,50003,5002407
578,29021,2909109
579,29019,2909208
580,29015,2912905
581,29015,2917607
582,29024,2917706
583,29022,2918803
584,29015,2920403
585,29002,2920452
586,29007,2923407
587,29017,2924207
588,29023,2924306
589,29006,2927507
590,29003,2900504
591,29003,2931004
592,29026,2918456
593,29007,2932606
594,29002,2928406
595,29026,2933257
596,29019,2907806
597,29018,2916302
598,29010,2925600
599,29020,2928604
600,29027,2905404
601,29015,2918001
602,29022,2918209
603,29014,2921401
604,29028,2924702
605,29007,2930006
606,29007,2920205
607,29009,2932507
608,29020,2933208
609,29026,2912806
610,29004,2908606
611,29024,2917003
612,29015,2920502
613,29008,2923209
614,29012,2927804
615,29010,2906204
616,29028,2931806
617,29021,2903904
618,29025,2910701
619,29001,2916500
620,29022,2910305
621,29010,2918506
622,29006,2930402
623,29028,2901205
624,29019,2900355
625,29025,2906808
626,29001,2907004
627,29007,2924504
628,29006,2911253
629,29019,2911857
630,29019,2926608
631,29012,2916609
632,29014,2923357
633,29014,2906873
634,29016,2909901
635,29003,2902807
636,29005,2920601
637,29013,2910909
638,29011,2914703
639,29011,2920809
640,29028,2908705
641,29014,2921203
642,29005,2908200
643,29006,2913309
644,29022,2927309
645,23009,2311801
646,23014,2301505
647,23010,2311231
648,23012,2307809
649,23010,2304277
650,23011,2304350
651,23021,2304806
652,23003,2304954
653,23018,2304269
654,23012,2308906
655,23015,2309300
656,23008,2311405
657,23010,2311504
658,23015,2313203
659,23006,2308377
660,23014,2300408
661,23011,2300507
662,23015,2301257
663,23017,2301802
664,23016,2302057
665,23019,2302503
666,23019,2311108
667,23020,2304301
668,23011,2303659
669,23021,2308401
670,23013,2305001
671,23009,2306702
672,23015,2304103
673,23003,2309706
